"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"L1001",99,111,"176","180",195,203
"L1002",99,118,"173","179",192,196
"L1003",99,111,"179","187",196,204
"L1004",95,109,"173","179",194,196
"L1005",99,123,"172","175",193,197
"L1006",97,109,"172","176",195,202
"L1007",99,111,"185","190",207,213
"L1008",133,NA,"192","203",207,NA
"L1009",99,116,"169","174",189,193
"L1010",104,130,"200","212",NA,NA
"L1011",99,113,"172","176",193,197
"L1012",99,109,"185","191",206,210
"L1013",109,118,"185","191",201,209
"L1014",99,137,"172","175",187,195
"L1015",95,113,"179","183",198,202
"L1016",104,123,"167","172",187,194
"L1017",97,109,"179","183",197,200
"L1018",99,118,"182","191",203,210
"L1019",109,123,"200","206",NA,NA
"L1020",97,130,"172","176",189,197
"L1101",104,118,"186","163",206,213
"L1102",99,116,"165","172",179,187
"L1103",99,109,"173","179",201,203
"L1104",95,113,"179","188",202,210
"L1105",99,118,"176","180",197,208
"L1106",104,116,"199","203",NA,NA
"L1107",99,116,"179","183",196,202
"L1108",NA,NA,NA,NA,NA,NA
"L1109",99,116,"179","186",196,203
"L1110",104,116,"165","168",NA,187
"L1111",99,113,"176","182",197,205
"L1112",99,118,"182","191",202,211
"L1113",104,113,"176","182",197,210
"L1114",99,109,"168","174",192,195
"L1115",102,109,"175","180",196,201
"L1116",99,109,"179","185",199,203
"L1117",99,113,"172","174",189,194
"L1118",104,118,"176","180",197,205
"L1119",95,118,"176","180",195,201
"L1201",116,130,"168","175",189,195
"L1202",NA,NA,NA,NA,NA,NA
"L1203",104,116,"179","184",200,205
"L1204",99,118,"179","186",196,204
"L1205",99,111,"169","174",189,194
"L1206",99,111,"179","184",200,203
"L1207",102,116,"169","173",192,197
"L1208",104,116,"165","168",179,185
"L1209",99,118,"168","175",187,195
"L1210",99,111,"165","168",184,189
"L1211",99,116,"167","172",182,193
"L1212",116,130,"180","194",203,211
"L1213",99,109,"176","180",201,203
"L1214",104,133,"176","182",197,202
"L1215",99,113,"173","179",195,201
"L1216",111,123,"199","204",NA,NA
"L1217",102,116,"173","179",193,197
"L1218",99,111,"182","191",200,208
"L1219",99,109,"186","192",208,213
"L1220",99,111,"173","179",192,195
"L1301",99,118,"179","184",202,207
"L1302",97,116,"167","172",186,193
"L1303",97,109,"176","180",196,202
"L1304",99,109,"172","176",192,197
"L1305",99,109,"180","185",205,209
"L1306",104,116,"165","168",187,194
"L1307",104,144,"192","199",210,224
"L1308",99,118,"176","182",197,203
"L1309",99,118,"169","173",187,194
"L1310",99,109,"180","186",206,210
"L1311",99,116,"168","172",193,197
"L1312",99,109,"174","180",195,204
"L1313",99,111,"169","174",194,197
"L1314",NA,NA,NA,NA,NA,NA
"L1315",109,118,"168","172",192,195
"L1316",99,116,"172","172",192,196
"L1317",99,118,"180","186",205,209
"L1318",99,116,"179","183",203,208
"L1319",104,118,"189","193",207,221
"L1401",NA,NA,NA,NA,NA,NA
"L1402",116,NA,"217",NA,NA,NA
"L1403",99,116,"165","168",179,187
"L1404",102,109,"165","168",182,188
"L1405",99,109,"173","179",189,195
"L1406",99,116,"181","187",199,202
"L1407",109,123,"169","172",182,194
"L1408",99,118,"172","174",192,196
"L1409",104,111,"199","203",NA,NA
"L1410",102,111,"186","193",204,210
"L1411",104,118,"175","180",197,205
"L1412",109,125,"200","204",NA,NA
"L1413",99,111,"176","183",198,201
"L1414",99,113,"176","184",199,202
"L1415",109,118,"168","174",189,195
"L1416",104,116,"187","193",207,218
"L1417",130,139,"179","186",200,211
"L1418",104,116,"172","176",194,198
"L1419",99,116,"185","192",208,217
"L1420",99,116,"172","175",193,198
"L1501",104,123,"167","179",192,197
"L1502",102,116,"176","180",195,201
"L1503",104,118,"199","204",NA,NA
"L1504",99,109,"180","188",205,210
"L1505",NA,NA,NA,NA,NA,NA
"L1506",99,116,"179","183",197,203
"L1507",99,116,"168","172",189,196
"L1508",99,116,"187","195",207,222
"L1509",104,116,"179","184",206,212
"L1510",102,118,"173","179",193,197
"L1511",102,109,"179","184",200,204
"L1512",102,118,"172","175",196,204
"L1513",99,109,"162","167",179,187
"L1514",102,118,"168","175",189,195
"L1515",116,130,"168","172",189,194
"L1516",125,133,"183","195",208,NA
"L1517",109,130,"173","176",193,221
"L1518",104,116,"162","165",179,187
"L1519",99,111,"182","191",204,209
"L1601",102,116,"167","172",185,194
"L1602",99,116,"175","179",198,201
"L1603",102,109,"176","180",194,199
"L1604",97,118,"168","174",196,201
"L1605",102,116,"172","176",195,205
"L1606",97,118,"172","179",192,196
"L1607",102,125,"176","185",196,202
"L1608",99,118,"176","184",199,210
"L1609",104,116,"176","180",194,198
"L1610",102,109,"167","172",184,196
"L1611",104,123,"200","204",NA,NA
"L1612",104,111,"181","187",202,208
"L1613",102,116,"172","179",194,197
"L1614",97,109,"172","179",197,201
"L1615",109,123,"169","175",196,209
"L1616",104,127,"188","193",210,NA
"L1617",102,123,"167","172",182,189
"L1618",99,109,"172","179",192,196
"L1619",102,111,"173","185",200,202
"L1620",102,118,"165","168",182,187
"L1701",104,118,"198","204",NA,NA
"L1702",116,125,"173","185",195,201
"L1703",99,116,"173","179",194,198
"L1704",97,109,"172","176",193,196
"L1705",99,116,"175","179",197,205
"L1706",99,116,"180","156",197,203
"L1707",99,109,"176","179",200,203
"L1708",104,118,"167","173",189,195
"L1709",99,118,"200","206",NA,NA
"L1710",104,116,"169","175",187,195
"L1711",102,116,"165","172",185,196
"L1712",104,123,"173","187",193,198
"L1713",104,116,"175","184",200,205
"L1714",109,123,"168","173",189,196
"L1715",104,118,"173","179",196,201
"L1716",104,116,"175","179",197,202
"L1717",109,118,"181","188",199,205
"L1718",102,109,"176","180",200,203
"L1719",104,116,"165","172",185,194
"L1801",104,116,"168","176",194,199
"L1802",104,111,"162","167",179,187
"L1803",97,109,"165","168",182,187
"L1804",97,111,"180","187",205,209
"L1805",104,111,"187","194",206,209
"L1806",104,116,"172","176",189,194
"L1807",99,111,"179","184",198,201
"L1808",102,111,"172","179",189,196
"L1809",99,111,"169","175",194,198
"L1810",102,111,"176","180",196,203
"L1811",104,125,"185","192",209,214
"L1812",104,111,"165","168",179,185
"L1813",97,109,"179","185",199,203
"L1814",NA,NA,NA,NA,NA,NA
"L1815",102,111,"181","188",205,208
"L1816",102,109,"172","176",193,199
"L1817",104,116,"175","180",198,201
"L1818",NA,NA,NA,NA,NA,NA
"L1819",99,109,"175","180",193,198
"L1820",102,109,"176","182",196,201
"L1901",102,111,"179","184",203,208
"L1902",97,109,"165","168",179,183
"L1903",97,109,"179","184",198,203
"L1904",102,118,"169","173",193,198
"L1905",99,111,"180","185",199,205
"L1906",97,109,"179","185",200,209
"L1907",102,116,"172","175",194,198
"L1908",97,116,"165","172",179,185
"L1909",NA,NA,NA,NA,NA,NA
"L1910",104,113,"173","179",194,199
"L1911",104,116,"176","183",194,200
"L1912",97,109,"165","172",185,194
"L1913",104,125,"206","218",NA,NA
"L1914",97,109,"167","173",192,197
"L1915",97,109,"169","174",189,194
"L1916",102,116,"176","185",201,218
"L1917",102,116,"198","202",NA,NA
"L1918",102,113,"176","183",196,202
"L1919",102,118,"181","191",204,208
"L2001",97,118,"175","180",192,198
"L2002",104,113,"186","193",207,211
"L2003",104,113,"169","174",187,195
"L2004",109,118,"176","184",199,203
"L2005",104,118,"169","175",189,195
"L2006",104,118,"198","204",NA,NA
"L2007",104,125,"172","179",192,198
"L2008",102,113,"167","174",187,195
"L2009",104,118,"173","179",194,198
"L2010",109,123,"172","179",192,199
"L2011",104,118,"168","172",189,194
"L2012",104,123,"179","184",200,205
"L2013",104,118,"172","176",194,198
"L2014",NA,NA,NA,NA,NA,NA
"L2015",111,125,"165","168",179,184
"L2016",104,116,"179","185",195,200
"L2017",109,116,"172","176",194,198
"L2018",102,111,"169","175",187,194
"L2019",102,116,"176","180",195,199
"L2020",109,118,"173","180",192,197
"L2101",104,116,"173","179",199,205
"L2102",104,118,"168","172",187,195
"L2103",104,118,"165","168",179,187
"L2104",102,109,"162","167",179,185
"L2105",104,118,"179","188",199,210
"L2106",104,127,"172","179",193,199
"L2107",104,118,"175","180",195,199
"L2108",104,116,"175","180",193,199
"L2109",104,116,"175","180",192,196
"L2110",109,118,"200","206",NA,NA
"L2111",104,118,"169","179",194,198
"L2112",104,109,"187","194",208,216
"L2113",104,116,"176","182",196,200
"L2114",104,116,"176","180",195,199
"L2115",104,111,"179","185",205,208
"L2116",99,113,"181","188",201,207
"L2117",102,109,"182","191",206,214
"L2118",104,130,"191","195",210,213
"L2119",102,116,"173","179",198,202
"L2201",104,116,"173","179",192,196
"L2202",102,111,"162","165",182,187
"L2203",109,118,"207","224",NA,NA
"L2204",102,116,"181","187",198,201
"L2205",97,109,"185","191",206,210
"L2206",102,116,"176","184",198,200
"L2207",97,111,"172","185",196,205
"L2208",109,NA,"186","203",NA,NA
"L2209",102,118,"172","179",193,198
"L2210",97,111,"173","179",198,203
"L2211",102,111,"168","172",189,196
"L2212",102,125,"167","176",182,198
"L2213",102,109,"175","180",198,205
"L2214",104,116,"165","168",187,197
"L2215",109,118,"201","205",NA,NA
"L2216",102,113,"185","192",204,214
"L2217",104,113,"169","175",192,197
"L2218",102,116,"176","183",207,216
"L2219",95,111,"175","180",205,210
"L2220",109,116,"172","179",194,199
"L2301",104,118,"181","188",203,209
"L2302",104,111,"176","183",194,199
"L2303",104,116,"176","180",196,202
"L2304",104,118,"167","172",187,196
"L2305",102,109,"179","185",197,200
"L2306",104,118,"176","180",195,205
"L2307",104,123,"175","180",197,201
"L2308",125,147,"179","194",210,NA
"L2309",104,118,"176","180",202,210
"L2310",102,125,"179","185",196,208
"L2311",102,109,"169","176",187,195
"L2312",104,118,"162","167",179,188
"L2313",104,118,"169","176",193,197
"L2314",102,109,"179","187",198,203
"L2315",102,109,"173","179",196,200
"L2316",104,111,"179","187",203,211
"L2317",104,116,"168","173",187,194
"L2318",104,111,"179","185",196,200
"L2319",104,118,"173","179",194,196
"L2401",102,116,"167","175",189,194
"L2402",102,116,"176","184",206,209
"L2403",104,111,"167","175",194,200
"L2404",102,111,"181","187",204,210
"L2405",104,116,"167","172",186,193
"L2406",104,116,"179","184",205,211
"L2407",111,127,"186","194",210,NA
"L2408",102,111,"172","179",193,196
"L2409",104,113,"165","172",185,189
"L2410",104,113,"207","221",NA,NA
"L2411",97,109,"179","184",203,209
"L2412",99,113,"165","172",185,191
"L2413",99,109,"181","188",204,211
"L2414",97,109,"176","184",194,199
"L2415",102,109,"173","179",191,195
"L2416",104,118,"176","179",200,205
"L2417",99,111,"169","175",192,196
"L2418",104,111,"169","174",187,196
"L2419",97,111,"180","185",202,209
"L2420",97,109,"169","175",192,196
"L2501",104,116,"175","180",198,201
"L2502",104,118,"167","176",189,196
"L2503",104,113,"176","184",194,202
"L2504",104,125,"199","204",NA,NA
"L2505",102,116,"176","180",196,201
"L2506",104,116,"185","192",207,211
"L2507",104,111,"169","176",191,195
"L2508",97,109,"173","179",192,196
"L2509",116,130,"181","187",199,203
"L2510",104,109,"175","180",193,198
"L2511",109,125,"172","176",196,200
"L2512",104,118,"200","203",NA,NA
"L2513",104,111,"162","165",180,196
"L2514",102,109,"175","180",197,201
"L2515",NA,NA,NA,NA,NA,NA
"L2516",104,109,"176","180",196,200
"L2517",102,111,"173","179",193,196
"L2518",104,118,"176","183",197,204
"L2519",104,111,"167","172",182,192
"L2601",104,118,"175","180",196,199
"L2602",104,125,"187","192",209,221
"L2603",102,118,"169","175",189,195
"L2604",95,118,"165","168",179,186
"L2605",104,116,"165","172",182,192
"L2606",104,116,"162","165",180,185
"L2607",102,113,"172","175",193,197
"L2608",102,109,"181","188",203,210
"L2609",104,111,"172","176",191,195
"L2610",97,109,"162","167",182,187
"L2611",102,111,"187","192",207,211
"L2612",102,109,"168","175",187,195
"L2613",102,116,"169","175",187,196
"L2614",NA,NA,NA,NA,NA,NA
"L2615",104,116,"176","184",195,204
"L2616",102,109,"162","167",179,185
"L2617",104,109,"169","175",194,197
"L2618",104,118,"200","205",NA,NA
"L2619",104,116,NA,"179",195,199
"L2620",104,116,"168","173",185,193
"L2701",104,113,"165","168",185,191
"L2702",102,111,"181","187",203,210
"L2703",109,118,"167","174",191,197
"L2704",104,118,"173","179",196,202
"L2705",95,109,"175","180",198,202
"L2706",102,111,"179","185",199,203
"L2707",104,113,"185","192",201,210
"L2708",104,113,"172","176",191,197
"L2709",102,109,"176","180",196,201
"L2710",104,116,"173","179",192,198
"L2711",102,109,"172","179",189,195
"L2712",104,111,"185","192",209,213
"L2713",104,111,"167","173",185,194
"L2714",102,116,"169","174",187,192
"L2715",116,133,"176","179",197,210
"L2716",104,111,"173","179",193,199
"L2717",102,109,"167","175",187,193
"L2718",104,116,"179","185",208,213
"L2719",104,111,"173","179",194,203
"L2801",99,111,"172","176",191,194
"L2802",102,111,"180","188",201,209
"L2803",104,113,"179","189",195,206
"L2804",102,111,"172","179",193,196
"L2805",102,111,"175","180",193,199
"L2806",104,118,"175","180",199,203
"L2807",102,111,"172","179",199,202
"L2808",104,118,"199","204",NA,NA
"L2809",NA,NA,NA,NA,NA,NA
"L2810",104,116,"176","179",191,195
"L2811",102,111,"172","185",194,200
"L2812",97,109,"181","187",201,211
"L2813",102,109,"175","179",193,195
"L2814",102,111,"169","176",192,194
"L2815",NA,NA,NA,NA,NA,NA
"L2816",NA,NA,NA,NA,NA,NA
"L2817",104,118,"169","175",192,195
"L2818",109,123,"167","173",191,196
"L2819",109,118,"202","211",NA,NA
"L2820",109,116,"169","176",191,196
"L2901",NA,NA,NA,NA,NA,NA
"L2902",102,111,"180","188",201,208
"L2903",104,125,"182","188",203,213
"L2904",102,116,"175","180",196,200
"L2905",104,118,"175","180",193,196
"L2906",104,111,"185","191",202,209
"L2907",104,116,"168","173",187,193
"L2908",104,109,"176","183",198,203
"L2909",104,116,"179","184",198,201
