"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"M1001",110,123,"183","190",202,207
"M1002",109,116,"181","188",200,200
"M1003",110,123,"174","179",200,202
"M1004",110,123,"172","174",193,195
"M1005",110,120,"181","183",200,204
"M1006",106,118,"179","183",200,202
"M1007",108,116,"181","188",200,202
"M1008",104,116,"174","179",195,197
"M1009",108,116,"169","172",188,190
"M1010",106,116,"179","183",195,200
"M1011",108,116,"176","179",195,197
"M1012",106,116,"179","188",207,211
"M1013",106,118,"188","190",207,214
"M1014",110,118,"179","181",207,216
"M1015",106,118,"179","190",200,207
"M1016",104,116,"190","193",211,214
"M1017",105,116,"169","174",190,190
"M1018",110,116,"172","174",190,197
"M1019",109,116,"181","188",197,202
"M1020",104,116,"188","193",207,214
"M1021",108,118,"183","188",200,207
"M1022",109,116,"183","188",207,209
"M1023",104,116,"172","174",190,195
"M1101",107,116,"187","190",207,214
"M1102",106,118,"174","176",193,200
"M1103",107,116,"169","172",188,190
"M1104",108,116,"176","183",197,202
"M1105",108,116,"172","176",193,195
"M1106",110,116,"187","193",207,214
"M1107",107,120,"176","181",200,204
"M1108",106,116,"190","193",207,209
"M1109",111,118,"181","190",200,211
"M1110",108,116,"193","193",209,214
"M1111",106,116,"174","179",193,193
"M1112",110,116,"183","187",202,207
"M1113",110,116,"160","165",176,176
"M1114",108,120,"172","174",187,190
"M1115",109,116,"183","187",200,200
"M1116",106,116,"167","169",183,188
"M1117",104,118,"190","193",214,221
"M1118",104,116,"174","176",195,197
"M1119",110,123,"204","209",NA,NA
"M1120",104,118,"179","183",197,200
"M1121",106,118,"172","176",193,197
"M1122",104,116,"187","188",207,209
"M1201",108,116,"176","179",195,200
"M1202",108,123,"204","207",NA,NA
"M1203",110,118,"181","183",204,209
"M1204",108,118,"172","174",193,197
"M1205",109,116,"183","188",202,207
"M1206",110,116,"176","179",197,197
"M1207",110,118,"181","187",207,209
"M1208",110,118,"190","193",211,214
"M1209",104,120,"214","221",NA,NA
"M1210",108,116,"187","190",207,209
"M1211",104,116,"190","193",214,218
"M1212",110,118,"179","181",197,200
"M1213",109,118,"188","190",207,209
"M1214",107,116,"181","183",202,204
"M1215",109,120,"174","179",195,197
"M1216",104,116,"174","179",195,197
"M1217",109,116,"188","193",207,209
"M1218",106,116,"176","179",193,195
"M1219",106,118,"190","193",207,209
"M1220",104,116,"172","174",195,200
"M1221",110,118,"183","187",204,207
"M1222",105,116,"188","193",214,218
"M1223",108,116,"179","181",202,207
"M1301",107,116,"174","179",195,200
"M1302",106,116,"187","190",204,207
"M1303",105,116,"190","193",211,214
"M1304",106,116,"188","193",214,216
"M1305",109,116,"183","188",204,207
"M1306",110,118,"188","193",214,218
"M1307",107,118,"172","176",190,195
"M1308",109,116,"181","183",204,207
"M1309",110,116,"179","187",200,211
"M1310",105,116,"174","179",197,200
"M1311",110,130,"204","209",NA,NA
"M1312",105,105,"176","179",190,193
"M1313",106,118,"183","188",204,207
"M1314",107,116,"179","183",193,195
"M1315",104,116,"176","179",200,204
"M1316",110,118,"183","187",204,207
"M1317",104,118,"190","193",204,207
"M1318",110,120,"187","190",204,211
"M1319",110,120,"190","193",207,209
"M1320",104,130,"214","221",NA,NA
"M1321",108,116,"176","179",200,202
"M1322",106,118,"179","187",207,209
"M1401",108,116,"174","174",193,197
"M1402",106,116,"174","179",195,195
"M1403",106,116,"200","202",218,NA
"M1404",108,118,"179","181",200,202
"M1405",109,116,"193","195",211,214
"M1406",104,120,"221","228",NA,NA
"M1407",110,118,"187","190",207,209
"M1408",106,116,"176","179",193,195
"M1409",109,116,"176","179",193,195
"M1410",106,116,"179","183",195,202
"M1411",104,116,"179","181",200,202
"M1412",110,120,"176","179",197,200
"M1413",109,118,"174","176",193,195
"M1414",108,116,"169","172",190,190
"M1415",105,116,"188","190",207,209
"M1416",110,125,"204","207",NA,NA
"M1417",106,116,"190","193",207,211
"M1418",104,118,"176","179",195,197
"M1419",110,118,"187","190",211,214
"M1420",107,116,"169","174",190,197
"M1421",108,118,"193","197",225,NA
"M1422",108,118,"174","179",195,200
"M1423",106,120,"174","179",200,207
"M1501",104,116,"179","181",200,202
"M1502",109,116,"168","172",183,188
"M1503",106,116,"172","172",190,193
"M1504",110,118,"174","176",193,195
"M1505",104,116,"187","190",207,211
"M1506",106,116,"181","183",200,204
"M1507",110,118,"172","172",190,193
"M1508",109,120,"160","165",174,176
"M1509",104,116,"188","190",207,211
"M1510",106,116,"183","187",204,207
"M1511",109,116,"183","187",200,202
"M1512",106,116,"176","181",200,202
"M1513",105,118,"179","181",200,202
"M1514",110,118,"167","172",188,193
"M1515",107,118,"169","172",190,193
"M1516",109,118,"183","188",207,209
"M1517",108,123,"179","183",200,202
"M1518",110,123,"183","187",202,207
"M1519",109,118,"179","181",193,195
"M1520",110,118,"169","172",187,188
"M1521",108,118,"181","183",200,202
"M1522",104,116,"172","174",193,195
"M1601",109,116,"176","179",195,197
"M1602",109,120,"183","187",204,207
"M1603",109,116,"183","188",204,209
"M1604",108,116,"179","181",197,200
"M1605",108,116,"172","179",190,193
"M1606",110,116,"176","179",193,195
"M1607",110,120,"204","209",NA,NA
"M1608",104,116,"176","179",195,197
"M1609",108,118,"176","179",195,195
"M1610",110,120,"181","187",200,202
"M1611",109,118,"176","179",195,200
"M1612",107,118,"174","179",195,200
"M1613",108,118,"179","181",195,200
"M1614",107,116,"183","188",211,214
"M1615",110,116,"188","193",209,214
"M1616",109,116,"179","181",200,202
"M1617",106,116,"188","193",211,218
"M1618",105,118,"179","181",200,200
"M1619",109,116,"174","176",193,195
"M1620",107,118,"187","190",200,204
"M1621",104,116,"188","193",204,209
"M1622",109,118,"172","174",190,193
"M1623",109,118,"167","172",190,190
"M1701",109,120,"187","187",200,207
"M1702",107,118,"214","221",NA,NA
"M1703",105,116,"190","193",211,214
"M1704",104,116,"190","193",204,207
"M1705",107,116,"176","181",200,207
"M1706",107,116,"193","195",214,218
"M1707",109,118,"174","179",193,195
"M1708",110,118,"172","176",193,193
"M1709",108,116,"179","181",195,200
"M1710",107,116,"195","197",214,221
"M1711",108,118,"181","187",204,207
"M1712",106,116,"179","181",200,207
"M1713",107,116,"187","190",214,218
"M1714",106,116,"181","187",200,202
"M1715",110,123,"168","172",188,190
"M1716",105,116,"167","172",190,190
"M1717",109,116,"172","179",193,195
"M1718",106,116,"188","190",202,207
"M1719",110,118,"160","165",172,176
"M1720",109,116,"172","179",197,202
