"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"N1001",81,88,"176","178",202,208
"N1002",90,97,"159","162",179,182
"N1003",85,90,"161","166",175,179
"N1004",90,99,"153","162",165,172
"N1005",83,90,"164","167",192,193
"N1006",81,94,"174","175",194,198
"N1007",83,90,"175","178",201,204
"N1008",83,90,"158","165",175,183
"N1009",88,96,"154","161",177,179
"N1010",88,99,"174","175",196,201
"N1011",90,102,"173","175",194,198
"N1012",88,94,"172","174",193,195
"N1013",89,93,"170","171",192,195
"N1014",85,93,"152","158",167,171
"N1015",89,94,"164","165",178,182
"N1016",85,90,"176","178",199,202
"N1017",85,94,"158","171",174,179
"N1018",83,88,"168","169",192,197
"N1019",85,90,"171","173",196,202
"N1020",89,97,"177","180",207,211
"N1101",81,91,"166","168",179,186
"N1102",92,105,"190","193",227,231
"N1103",90,91,"160","163",179,186
"N1104",83,91,"168","172",192,197
"N1105",85,91,"152","160",167,172
"N1106",88,91,"170","174",195,197
"N1107",83,91,"159","172",175,183
"N1108",83,90,"153","160",172,174
"N1109",85,93,"171","174",196,198
"N1110",88,96,"152","168",167,169
"N1111",88,92,"171","172",198,199
"N1112",81,NA,"160","164",177,181
"N1113",83,90,"161","165",179,183
"N1114",88,96,"174","175",195,197
"N1115",83,90,"158","161",174,177
"N1116",88,92,"182","185",209,211
"N1117",81,96,"199","202",232,237
"N1118",85,90,"173","174",198,202
"N1119",90,96,"154","159",166,172
"N1201",85,91,"174","176",200,202
"N1202",88,97,"169","170",195,198
"N1203",88,93,"173","175",195,198
"N1204",90,99,"173","175",195,201
"N1205",89,91,"169","170",196,198
"N1206",92,99,"189","192",227,233
"N1207",89,93,"166","170",189,195
"N1208",83,91,"161","168",178,182
"N1209",83,94,"171","172",195,202
"N1210",89,94,"182","184",205,210
"N1211",85,94,"166","169",183,195
"N1212",83,91,"170","171",190,195
"N1213",89,93,"175","176",198,204
"N1214",90,97,"140","146",158,160
"N1215",88,93,"163","164",179,183
"N1216",88,92,"173","177",198,206
"N1217",88,91,"165","171",189,192
"N1218",88,92,"161","166",175,179
"N1219",85,90,"174","179",195,214
"N1220",90,96,"165","167",183,186
"N1301",91,93,"163","168",191,194
"N1302",89,98,"161","168",175,189
"N1303",89,91,"170","171",198,199
"N1304",85,97,"167","169",190,193
"N1305",88,91,"176","178",196,201
"N1306",85,90,"152","159",171,177
"N1307",88,91,"169","170",191,193
"N1308",85,91,"162","170",183,194
"N1309",81,94,"198","202",231,NA
"N1310",90,97,"166","170",193,195
"N1311",85,91,"175","180",195,200
"N1312",81,91,"176","178",198,203
"N1313",88,93,"166","168",192,194
"N1314",92,98,"158","161",174,180
"N1315",90,97,"172","173",197,200
"N1316",99,104,"169","170",196,199
"N1317",88,94,"158","164",174,179
"N1318",92,101,"189","192",222,231
"N1319",90,96,"151","157",168,174
"N1401",90,94,"169","171",193,195
"N1402",81,93,"200","202",232,NA
"N1403",90,93,"165","169",193,196
"N1404",85,92,"173","175",196,200
"N1405",90,99,"171","173",200,206
"N1406",88,96,"163","180",176,179
"N1407",92,98,"160","165",178,182
"N1408",90,94,"175","179",200,206
"N1409",90,94,"164","165",179,183
"N1410",88,91,"164","169",183,193
"N1411",90,94,"154","161",165,169
"N1412",81,91,"163","169",179,193
"N1413",90,94,"168","170",186,192
"N1414",90,93,"176","180",200,204
"N1415",85,93,"173","174",193,195
"N1416",85,91,"152","159",171,172
"N1417",88,93,"152","159",171,177
"N1418",90,93,"166","168",193,194
"N1419",90,93,"163","165",189,192
"N1420",85,96,"167","169",193,196
"N1501",88,93,"166","170",196,202
"N1502",91,98,"168","170",193,194
"N1503",81,91,"174","177",198,202
"N1504",81,92,"198","201",232,NA
"N1505",83,91,"172","175",196,203
"N1506",88,93,"161","164",187,193
"N1507",85,91,"170","171",194,196
"N1508",85,93,"173","175",194,198
"N1509",85,91,"164","166",181,186
"N1510",89,97,"180","186",202,206
"N1511",89,97,"160","169",183,193
"N1512",81,91,"160","164",175,182
"N1513",NA,NA,"N/A","N/A",NA,NA
"N1514",81,93,"199","201",231,NA
"N1515",85,91,"158","163",175,179
"N1516",88,91,"152","157",167,175
"N1517",88,92,"163","166",181,186
"N1518",88,93,"167","170",187,192
"N1519",90,94,"158","163",171,177
"N1601",90,96,"170","171",193,196
"N1602",88,91,"157","161",181,183
"N1603",88,91,"163","167",182,189
"N1604",90,96,"175","177",194,196
"N1605",89,93,"158","174",178,183
"N1606",88,93,"164","167",183,189
"N1607",81,90,"171","173",193,198
"N1608",90,93,"164","166",183,187
"N1609",81,96,"180","183",203,207
"N1610",90,94,"161","165",179,183
"N1611",90,94,NA,"161",171,178
"N1612",93,96,"193","194",229,239
"N1613",81,91,"158","162",175,180
"N1614",81,90,"170","172",194,197
"N1615",81,94,"169","173",194,196
"N1616",83,90,"164","170",183,188
"N1617",83,91,"161","165",179,182
"N1618",83,92,"170","172",194,197
"N1619",81,90,"152","160",167,172
"N1620",90,98,"164","172",192,194
"N1701",92,97,"170","171",194,196
"N1702",87,94,"166","170",191,193
"N1703",93,97,"142","148",158,162
"N1704",81,90,"164","167",183,189
"N1705",89,103,"190","192",227,234
"N1706",88,93,"152","158",168,174
"N1707",93,97,"150","160",166,170
"N1708",81,91,"166","172",187,192
"N1709",85,90,"171","174",194,196
"N1710",89,94,"164","169",179,182
"N1711",90,99,"171","174",192,201
"N1712",90,91,"168","170",NA,188
"N1713",89,93,"164","171",190,197
"N1714",81,91,"175","177",200,203
"N1715",85,91,"181","183",205,209
"N1716",90,93,"163","167",167,191
