"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"P1001",NA,67,"119","128",139,145
"P1002",NA,64,"113","126",131,145
"P1003",NA,62,"141","149",153,162
"P1004",NA,59,"113","117",128,131
"P1005",NA,69,"85","106",117,119
"P1006",NA,69,"159","164",172,198
"P1007",NA,69,"117","139",141,145
"P1008",NA,69,"119","128",131,141
"P1009",NA,69,"131","141",151,162
"P1010",NA,64,"109","117",128,131
"P1011",NA,73,"124","174",153,210
"P1012",NA,69,"117","124",133,145
"P1013",NA,69,"115","124",131,135
"P1014",NA,64,"131","149",141,159
"P1015",NA,73,"128","135",141,151
"P1016",NA,69,"126","135",141,149
"P1017",NA,67,"117","139",141,145
"P1018",NA,62,"139","151",153,162
"P1019",NA,64,"106","109",121,124
"P1020",NA,69,"109","111",124,131
"P1021",NA,64,"92","131",117,145
"P1101",NA,67,"131","141",145,149
"P1102",NA,71,"162","166",193,198
"P1103",NA,64,"124","139",145,149
"P1104",NA,62,"128","135",141,151
"P1105",NA,64,"113","121",131,135
"P1106",NA,67,"126","139",141,149
"P1107",NA,73,"153","159",172,174
"P1108",NA,69,"128","139",141,145
"P1109",NA,67,"117","128",135,141
"P1110",NA,64,"109","117",124,128
"P1111",NA,41,"153","166",172,190
"P1112",NA,67,"113","128",133,141
"P1113",NA,73,"131","147",135,153
"P1114",NA,67,"113","117",126,131
"P1115",NA,69,"139","151",145,155
"P1116",NA,69,"115","131",141,145
"P1117",NA,67,"124","139",128,141
"P1118",NA,73,"131","139",141,149
"P1119",NA,91,"139","153",147,168
"P1120",NA,59,"106","115",126,131
"P1121",NA,67,"113","121",128,131
"P1122",NA,69,"115","128",131,145
"P1201",NA,64,"135","139",145,159
"P1202",NA,69,"131","139",145,168
"P1203",NA,73,"113","117",128,139
"P1204",NA,73,"135","139",141,149
"P1205",NA,41,"155","162",174,207
"P1206",NA,73,"124","135",139,153
"P1207",NA,67,"109","115",128,131
"P1208",NA,67,"106","112",124,128
"P1209",NA,67,"113","124",128,141
"P1210",NA,67,"113","124",126,153
"P1211",NA,73,"113","141",128,151
"P1212",NA,71,"155","159",181,193
"P1213",NA,62,"121","149",153,162
"P1214",NA,84,"128","133",135,151
"P1215",NA,73,"117","128",131,139
"P1216",NA,41,"153","162",172,210
"P1217",NA,67,"131","141",145,159
"P1218",NA,67,"124","131",135,145
"P1219",NA,64,"124","133",139,141
"P1220",NA,71,"121","131",139,141
"P1221",NA,69,"121","131",135,141
"P1301",NA,67,"103","119",124,128
"P1302",NA,93,"131","135",141,153
"P1303",NA,67,"135","139",149,159
"P1304",NA,57,"85","124",126,139
"P1305",NA,69,"119","131",135,141
"P1306",NA,69,"113","117",128,131
"P1307",NA,75,"124","135",139,145
"P1308",NA,67,"124","135",141,145
"P1309",NA,69,"126","139",141,145
"P1310",NA,69,"128","139",141,149
"P1311",NA,69,"124","126",135,139
"P1312",NA,62,"103","115",124,131
"P1313",NA,69,"119","124",128,141
"P1314",NA,53,"113","124",119,139
"P1315",NA,73,"115","139",145,151
"P1316",NA,73,"117","128",131,141
"P1317",NA,62,"124","128",135,139
"P1318",NA,67,"103","117",124,131
"P1319",NA,64,"113","124",128,145
"P1320",NA,67,"119","128",135,139
"P1321",NA,69,"115","124",131,141
"P1322",NA,69,"109","119",128,139
"P1401",NA,41,"151","159",187,193
"P1402",NA,67,"135","141",145,149
"P1403",NA,73,"139","141",147,153
"P1404",NA,71,"119","128",139,141
"P1405",NA,69,"113","124",131,141
"P1406",NA,73,"131","139",139,151
"P1407",NA,67,"131","141",145,153
"P1408",NA,69,"124","139",141,151
"P1409",NA,69,"115","128",131,139
"P1410",NA,57,"131","135",145,149
"P1411",NA,64,"119","128",131,139
"P1412",NA,62,"103","115",121,124
"P1413",NA,73,"119","141",139,153
"P1414",NA,64,"141","149",153,162
"P1415",NA,77,"139","151",145,155
"P1416",NA,62,"106","113",128,131
"P1417",NA,71,"117","145",131,162
"P1418",NA,69,"139","145",151,159
"P1419",NA,62,"131","139",145,153
"P1420",NA,67,"109","115",131,141
"P1421",NA,71,"115","124",131,139
"P1501",NA,69,"128","131",139,141
"P1502",NA,67,"109","115",128,131
"P1503",NA,69,"131","135",139,141
"P1504",NA,67,"113","117",128,135
"P1505",NA,84,"139","141",153,162
"P1506",NA,91,"124","135",139,141
"P1507",NA,73,"128","133",139,145
"P1508",NA,71,"111","117",128,139
"P1509",NA,62,"85","103",119,119
"P1510",NA,62,"124","131",135,141
"P1511",NA,69,"128","131",141,145
"P1512",NA,77,"131","141",149,151
"P1513",NA,57,"117","124",145,151
"P1514",NA,73,"124","131",139,149
"P1515",NA,67,"100","117",119,135
"P1516",NA,67,"124","131",145,149
"P1517",NA,64,"124","126",139,145
"P1518",NA,69,"124","131",139,141
"P1519",NA,73,"128","141",139,159
"P1520",NA,41,"131","141",153,168
"P1521",NA,67,"126","128",135,139
"P1522",NA,53,"100","111",117,124
"P1601",NA,67,"128","131",135,139
"P1602",NA,69,"147","151",159,168
"P1603",NA,71,"141","145",151,159
"P1604",NA,69,"128","131",139,141
"P1605",NA,62,"109","115",128,141
"P1606",NA,69,"109","124",128,139
"P1607",NA,64,"121","126",139,141
"P1608",NA,69,"131","139",141,145
"P1609",NA,71,"159","168",181,190
"P1610",NA,62,"106","111",121,124
"P1611",NA,69,"131","141",139,151
"P1612",NA,69,"117","124",131,135
"P1613",NA,67,"128","145",139,153
"P1614",NA,69,"117","124",139,141
"P1615",NA,64,"128","139",141,145
"P1616",NA,69,"128","131",135,139
"P1617",NA,75,"124","128",139,141
"P1618",NA,69,"126","139",141,145
"P1619",NA,59,"117","124",131,139
"P1620",NA,64,"115","124",128,153
"P1621",NA,69,"119","124",139,141
"P1701",NA,69,"128","131",139,145
"P1702",NA,71,"139","141",145,151
"P1703",NA,67,"133","135",145,151
"P1704",NA,73,"117","128",139,153
"P1705",NA,67,"115","121",128,141
"P1706",NA,69,"106","124",131,141
"P1707",NA,67,"119","124",131,149
"P1708",NA,64,"131","145",153,162
"P1709",NA,57,"117","128",131,139
"P1710",NA,67,"131","141",149,159
"P1711",NA,69,"117","131",139,141
"P1712",NA,67,"128","131",135,139
"P1713",NA,67,"124","131",135,139
"P1714",NA,59,"111","117",128,141
"P1715",NA,62,"131","139",141,151
"P1716",NA,71,"131","135",139,145
"P1717",NA,62,"113","124",131,139
"P1718",NA,62,"121","128",133,135
"P1719",NA,69,"131","141",145,153
"P1720",NA,69,"121","131",139,141
"P1721",NA,69,"155","168",172,193
"P1722",NA,67,"109","115",124,131
"P1801",NA,67,"135","141",145,149
"P1802",NA,69,"162","176",190,193
"P1803",NA,67,"111","124",128,139
