"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"T1001",NA,NA,"169","172",199,202
"T1002",NA,NA,"129","143",145,172
"T1003",NA,NA,"143","160",159,181
"T1004",NA,NA,"148","155",166,179
"T1005",NA,NA,"161","166",188,193
"T1006",NA,NA,"143","151",158,172
"T1007",NA,NA,"129","140",144,149
"T1008",NA,NA,"122","136",137,151
"T1009",NA,NA,"139","155",172,172
"T1010",NA,NA,"134","144",146,160
"T1011",NA,NA,"146","151",160,174
"T1012",NA,NA,"121","129",136,146
"T1013",NA,NA,"139","166",159,179
"T1014",NA,NA,"129","146",146,172
"T1015",NA,NA,"113","133",131,153
"T1016",NA,NA,"137","151",159,174
"T1017",NA,NA,"121","126",132,139
"T1018",NA,NA,"129","141",144,155
"T1019",NA,NA,"129","144",145,153
"T1020",NA,NA,"136","151",149,172
"T1021",NA,NA,"148","158",166,183
"T1101",NA,NA,"136","141",151,172
"T1102",NA,NA,"131","143",149,155
"T1103",NA,NA,"143","158",158,172
"T1104",NA,NA,"136","146",151,168
"T1105",NA,NA,"160","168",199,204
"T1106",NA,NA,"124","132",138,146
"T1107",NA,NA,"136","151",149,172
"T1108",NA,NA,"160","174",190,199
"T1109",NA,NA,"115","126",131,149
"T1110",NA,NA,"136","155",166,172
"T1111",NA,NA,"136","146",151,172
"T1112",NA,NA,"129","144",141,172
"T1113",NA,NA,"168","174",204,214
"T1114",NA,NA,"134","141",151,158
"T1115",NA,NA,"136","149",151,172
"T1116",NA,NA,"165","172",199,204
"T1117",NA,NA,"134","151",149,181
"T1118",NA,NA,"133","148",149,172
"T1119",NA,NA,"122","133",141,149
"T1120",NA,NA,"121","162",139,181
"T1121",NA,NA,"124","144",138,181
"T1201",NA,NA,"186","188",221,224
"T1202",NA,NA,"122","131",136,151
"T1203",NA,NA,"129","144",144,160
"T1204",NA,NA,"123","136",138,153
"T1205",NA,NA,"146","151",160,172
"T1206",NA,NA,"134","144",146,158
"T1207",NA,NA,"143","155",160,181
"T1208",NA,NA,"129","141",139,160
"T1209",NA,NA,"143","155",159,179
"T1210",NA,NA,"115","126",136,144
"T1211",NA,NA,"134","143",146,160
"T1212",NA,NA,"144","160",172,181
"T1213",NA,NA,"126","146",141,181
"T1214",NA,NA,"115","124",133,141
"T1215",NA,NA,"137","146",151,174
"T1216",NA,NA,"113","117",131,139
"T1217",NA,NA,"121","124",133,139
"T1218",NA,NA,"117","121",134,139
"T1219",NA,NA,"122","132",137,153
"T1220",NA,NA,"136","149",146,169
"T1221",NA,NA,"160","168",199,202
"T1301",NA,NA,"129","132",136,160
"T1302",NA,NA,"117","129",133,144
"T1303",NA,NA,"129","140",141,181
"T1304",NA,NA,"121","129",133,153
"T1305",NA,NA,"190","190",211,229
"T1306",NA,NA,"132","140",143,160
"T1307",NA,NA,"117","136",139,153
"T1308",NA,NA,"133","160",149,179
"T1309",NA,NA,"121","128",136,141
"T1310",NA,NA,"134","146",144,176
"T1311",NA,NA,"123","133",138,176
"T1312",NA,NA,"118","133",139,181
"T1313",NA,NA,"133","136",146,181
"T1314",NA,NA,"129","139",149,160
"T1315",NA,NA,"111","110",131,133
"T1316",NA,NA,"137","144",158,181
"T1317",NA,NA,"123","131",138,158
"T1318",NA,NA,"136","144",149,160
"T1319",NA,NA,"122","132",138,149
"T1320",NA,NA,"129","133",139,149
"T1321",NA,NA,"149","165",169,179
"T1401",NA,NA,"111","136",131,160
"T1402",NA,NA,"122","129",139,141
"T1403",NA,NA,"136","146",153,163
"T1404",NA,NA,"159","165",199,202
"T1405",NA,NA,"115","123",131,139
"T1406",NA,NA,"111","117",131,139
"T1407",NA,NA,"115","132",133,144
"T1408",NA,NA,"121","131",136,153
"T1409",NA,NA,"116","128",132,151
"T1410",NA,NA,"160","166",193,202
"T1411",NA,NA,"111","127",136,144
"T1412",NA,NA,"149","160",169,179
"T1413",NA,NA,"155","165",193,202
"T1414",NA,NA,"186","188",216,224
"T1415",NA,NA,"148","158",166,183
"T1416",NA,NA,"111","136",123,153
"T1417",NA,NA,"144","166",176,193
"T1418",NA,NA,"143","153",163,172
"T1419",NA,NA,"136","146",158,166
"T1420",NA,NA,"190","193",NA,NA
"T1421",NA,NA,"115","129",131,151
"T1501",NA,NA,"129","149",144,176
"T1502",NA,NA,"131","146",144,181
"T1503",NA,NA,"129","139",136,153
"T1504",NA,NA,"141","165",151,181
"T1505",NA,NA,"115","123",132,144
"T1506",NA,NA,"115","121",134,139
"T1507",NA,NA,"129","176",144,199
"T1508",NA,NA,"136","153",146,181
"T1509",NA,NA,"190","190",221,229
"T1510",NA,NA,"115","121",134,141
"T1511",NA,NA,"146","158",159,181
"T1512",NA,NA,"129","140",141,169
"T1513",NA,NA,"115","126",139,141
"T1514",NA,NA,"131","148",143,151
"T1515",NA,NA,"136","139",146,151
"T1516",NA,NA,"136","144",158,172
"T1517",NA,NA,"149","163",183,NA
"T1518",NA,NA,"155","166",199,204
"T1519",NA,NA,"131","153",146,172
"T1520",NA,NA,"160","163",190,193
"T1521",NA,NA,"143","160",158,172
"T1601",NA,NA,"122","139",138,160
"T1602",NA,NA,"133","144",146,160
"T1603",NA,NA,"146","151",158,176
"T1604",NA,NA,"119","133",136,153
"T1605",NA,NA,"128","159",146,181
"T1606",NA,NA,"133","139",141,151
"T1607",NA,NA,"119","139",136,153
"T1608",NA,NA,"144","151",158,172
"T1609",NA,NA,"129","151",141,181
"T1610",NA,NA,"136","145",149,158
"T1611",NA,NA,"133","141",139,153
"T1612",NA,NA,NA,NA,NA,NA
"T1613",NA,NA,"124","132",138,140
"T1614",NA,NA,"116","121",131,142
"T1615",NA,NA,"148","165",179,193
"T1616",NA,NA,"146","151",159,172
"T1617",NA,NA,"116","126",132,146
"T1618",NA,NA,"121","131",138,153
"T1619",NA,NA,"121","128",139,143
"T1620",NA,NA,"136","149",148,181
"T1621",NA,NA,"144","149",160,163
"T1701",NA,NA,"115","131",126,176
"T1702",NA,NA,"138","146",153,172
"T1703",NA,NA,"121","129",139,146
"T1704",NA,NA,"122","131",138,149
"T1705",NA,NA,"116","158",133,183
"T1706",NA,NA,"113","144",126,160
"T1707",NA,NA,"121","132",133,151
"T1708",NA,NA,"143","149",159,166
"T1709",NA,NA,"155","158",172,177
"T1710",NA,NA,"145","166",163,188
"T1711",NA,NA,"123","133",139,153
"T1712",NA,NA,"134","146",144,160
"T1713",NA,NA,"123","133",138,149
"T1714",NA,NA,"116","129",133,153
"T1715",NA,NA,"136","148",149,166
"T1716",NA,NA,"121","133",139,160
"T1717",NA,NA,"123","133",138,160
"T1718",NA,NA,"117","131",133,151
"T1719",NA,NA,"155","163",172,179
"T1720",NA,NA,"123","139",139,153
"T1721",NA,NA,"148","155",163,169
"T1801",NA,NA,"118","131",141,149
"T1802",NA,NA,"123","144",141,158
"T1803",NA,NA,"129","141",144,151
"T1804",NA,NA,"129","132",141,145
"T1805",NA,NA,"143","149",158,183
"T1806",NA,NA,"129","140",144,153
"T1807",NA,NA,"115","149",133,172
"T1808",NA,NA,"123","141",143,149
"T1809",NA,NA,"138","166",151,188
"T1810",NA,NA,"126","133",141,153
"T1811",NA,NA,"140","146",151,160
"T1812",NA,NA,"160","166",199,204
"T1813",NA,NA,"121","132",131,149
"T1814",NA,NA,"115","121",140,146
"T1815",NA,NA,"121","131",140,151
"T1816",NA,NA,"143","155",159,172
"T1817",NA,NA,"113","155",133,177
"T1818",NA,NA,"129","146",144,183
"T1819",NA,NA,"129","140",141,172
"T1820",NA,NA,"140","151",146,183
