"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"V1001",NA,67,"130","137",149,164
"V1002",NA,67,"126","133",141,150
"V1003",NA,67,"144","149",159,170
"V1004",NA,67,"137","146",149,161
"V1005",NA,74,"131","135",150,168
"V1006",NA,67,"162","171",188,202
"V1007",NA,74,"129","134",145,151
"V1008",NA,67,"148","167",164,181
"V1009",NA,74,"161","168",179,202
"V1010",NA,74,"163","172",181,203
"V1011",NA,67,"128","135",141,151
"V1012",NA,74,"130","132",145,150
"V1013",NA,60,"168","172",202,219
"V1014",NA,74,"122","130",135,143
"V1015",NA,74,"129","133",145,151
"V1016",NA,74,"154","157",171,181
"V1017",NA,74,"137","143",155,161
"V1018",NA,74,"132","136",149,157
"V1019",71,81,"136","143",156,158
"V1101",NA,67,"135","145",151,160
"V1102",NA,67,"132","141",145,156
"V1103",NA,67,"156","163",171,201
"V1104",NA,67,"143","169",159,200
"V1105",NA,67,"143","159",158,198
"V1106",NA,67,"140","146",157,167
"V1107",NA,67,"133","143",145,159
"V1108",NA,67,"123","130",139,150
"V1109",NA,74,"158","161",172,183
"V1110",NA,60,"169","172",201,220
"V1111",NA,67,"134","136",149,161
"V1112",NA,74,"132","136",149,156
"V1113",NA,67,"128","130",142,150
"V1114",NA,67,"117","123",130,138
"V1115",NA,74,"126","132",141,150
"V1116",NA,74,"123","132",138,145
"V1117",NA,74,"126","130",141,150
"V1118",NA,67,"154","171",177,201
"V1119",NA,74,"131","137",145,156
"V1120",NA,67,"158","164",184,199
"V1201",NA,67,"148","158",169,178
"V1202",NA,67,"132","139",148,157
"V1203",NA,67,"133","139",146,165
"V1204",NA,67,"121","130",136,150
"V1205",NA,67,"138","147",156,160
"V1206",NA,74,"129","135",143,171
"V1207",NA,67,"143","146",158,167
"V1208",NA,74,"133","136",146,151
"V1209",NA,74,"132","136",149,157
"V1210",NA,74,"124","130",138,150
"V1211",NA,74,"136","160",150,180
"V1212",NA,74,"143","160",157,180
"V1213",NA,74,"135","150",151,171
"V1214",NA,67,"168","172",193,197
"V1215",NA,67,"125","131",138,145
"V1216",NA,74,"126","135",142,156
"V1217",NA,67,"153","159",169,178
"V1218",NA,74,"137","146",151,160
"V1219",NA,67,"135","143",150,157
"V1301",NA,67,"128","135",142,150
"V1302",NA,67,"134","137",150,156
"V1303",NA,60,"165","172",199,219
"V1304",NA,67,"136","155",149,162
"V1305",NA,81,"122","130",133,142
"V1306",NA,NA,"153","171",190,NA
"V1307",NA,67,"134","138",148,153
"V1308",NA,74,"133","138",149,156
"V1309",NA,78,"159","169",176,194
"V1310",NA,74,"136","142",156,161
"V1311",NA,74,"119","131",134,145
"V1312",NA,74,"152","171",174,202
"V1313",NA,74,"129","135",143,157
"V1314",NA,81,"120","133",135,142
"V1315",NA,74,"131","145",144,160
"V1316",NA,74,"144","157",159,193
"V1317",NA,67,"129","132",142,146
